,Samlpe,Type,MSI.score,Genes
5662,TCGA-6A-AB49-01,LUSC,0.438612232100886,7.46701610511034
5663,TCGA-70-6722-01,LUSC,0.366811773127127,7.64088671499398
5664,TCGA-70-6723-01,LUSC,0.3965979315749,6.7294823462794
5665,TCGA-77-6842-01,LUSC,0.363114994589318,6.92485784341436
5666,TCGA-77-6843-01,LUSC,0.365468585778131,7.23583871500196
5667,TCGA-77-6844-01,LUSC,0.389456678166666,6.91059692426933
5668,TCGA-77-6845-01,LUSC,0.393745670660825,7.3901646963433
5669,TCGA-77-7138-01,LUSC,0.397474417045898,8.90643721230842
5670,TCGA-77-7139-01,LUSC,0.393196511870406,7.68007444185687
5671,TCGA-77-7140-01,LUSC,0.416947804909838,7.74173235618226
5672,TCGA-77-7141-01,LUSC,0.385486258913337,7.19548839662699
5673,TCGA-77-7142-01,LUSC,0.4015212501086,6.7806181924802
5674,TCGA-77-7335-01,LUSC,0.379288249971929,6.71725925847258
5675,TCGA-77-7337-01,LUSC,0.409472403675067,6.56613569902422
5676,TCGA-77-7338-01,LUSC,0.339821504923343,7.17283870512878
5677,TCGA-77-7463-01,LUSC,0.399882010026675,7.65872258087128
5678,TCGA-77-7465-01,LUSC,0.412618958991931,7.95183356276714
5679,TCGA-77-8007-01,LUSC,0.41565051441473,7.01686298251635
5680,TCGA-77-8008-01,LUSC,0.425566724075251,7.06548227210702
5681,TCGA-77-8009-01,LUSC,0.418783638511739,7.91648402040626
5682,TCGA-77-8128-01,LUSC,0.432531878738116,7.40432703906964
5683,TCGA-77-8130-01,LUSC,0.327457434294153,6.83451370822465
5684,TCGA-77-8131-01,LUSC,0.403594950641665,6.6343898732609
5685,TCGA-77-8133-01,LUSC,0.363339311629479,7.15382437485743
5686,TCGA-77-8136-01,LUSC,0.368489000645104,7.00162735935085
5687,TCGA-77-8138-01,LUSC,0.400537929583729,7.18880367313765
5688,TCGA-77-8139-01,LUSC,0.383718114635775,7.62990277170172
5689,TCGA-77-8140-01,LUSC,0.427606172781899,7.00760627163068
5690,TCGA-77-8143-01,LUSC,0.400647220522828,6.3501072371135
5691,TCGA-77-8144-01,LUSC,0.3919876262198,7.46226829683983
5692,TCGA-77-8145-01,LUSC,0.406318970636192,6.74257671095121
5693,TCGA-77-8146-01,LUSC,0.39692667603135,6.8088429278434
5694,TCGA-77-8148-01,LUSC,0.434027674663597,7.25362383640466
5695,TCGA-77-8150-01,LUSC,0.408385791406414,6.92726883554314
5696,TCGA-77-8153-01,LUSC,0.402285591869996,7.14680605732913
5697,TCGA-77-8154-01,LUSC,0.390337511615924,6.86694372514213
5698,TCGA-77-8156-01,LUSC,0.375178479589612,7.4691323427327
5699,TCGA-77-A5FZ-01,LUSC,0.392427338213722,6.35082857458347
5700,TCGA-77-A5G1-01,LUSC,0.394514141955959,7.46934946947605
5701,TCGA-77-A5G3-01,LUSC,0.381615624846454,8.1778282347841
5702,TCGA-77-A5G6-01,LUSC,0.391327806843611,7.76542746735031
5703,TCGA-77-A5G7-01,LUSC,0.381947800689102,7.49968984403423
5704,TCGA-77-A5G8-01,LUSC,0.403704010250962,7.28956725946202
5705,TCGA-77-A5GA-01,LUSC,0.37528970853542,6.85670545457501
5706,TCGA-77-A5GB-01,LUSC,0.3907777267512,7.36521530744638
5707,TCGA-77-A5GF-01,LUSC,0.396707521383976,7.38907013952936
5708,TCGA-77-A5GH-01,LUSC,0.385044425959607,7.84887790697978
5709,TCGA-79-5596-01,LUSC,0.372394965238024,6.87330621350222
5710,TCGA-85-6175-01,LUSC,0.388465097283154,6.81911388204764
5711,TCGA-85-6560-01,LUSC,0.426640477504461,7.44802727285872
5712,TCGA-85-6561-01,LUSC,0.275126273568355,7.24119022140414
5713,TCGA-85-6798-01,LUSC,0.378955461140906,7.20563221551185
5714,TCGA-85-7696-01,LUSC,0.384381422712236,7.50549913518289
5715,TCGA-85-7697-01,LUSC,0.375178479589612,7.04162230937836
5716,TCGA-85-7698-01,LUSC,0.381726358625599,7.30435926629655
5717,TCGA-85-7699-01,LUSC,0.374288339169031,7.46347786611485
5718,TCGA-85-7710-01,LUSC,0.385375813359913,7.76435300617191
5719,TCGA-85-7843-01,LUSC,0.395501575384977,6.6125194581191
5720,TCGA-85-7844-01,LUSC,0.388795699975099,7.63213964415475
5721,TCGA-85-7950-01,LUSC,0.422986450566717,7.61053118604258
5722,TCGA-85-8048-01,LUSC,0.396817102869038,7.4778933941265
5723,TCGA-85-8049-01,LUSC,0.383275739763504,6.76209790029401
5724,TCGA-85-8052-01,LUSC,0.392427338213722,7.31221402593965
5725,TCGA-85-8070-01,LUSC,0.413702388782177,6.86657432352919
5726,TCGA-85-8071-01,LUSC,0.375512140703744,7.45199101404021
5727,TCGA-85-8072-01,LUSC,0.338224719989013,6.76906913631683
5728,TCGA-85-8276-01,LUSC,0.414785005552843,6.56571198875528
5729,TCGA-85-8277-01,LUSC,0.433066269617616,6.60558669567236
5730,TCGA-85-8287-01,LUSC,0.405883472922256,6.79625292927134
5731,TCGA-85-8288-01,LUSC,0.399663303888018,7.12982336812947
5732,TCGA-85-8350-01,LUSC,0.425781538703535,6.57630062794327
5733,TCGA-85-8351-01,LUSC,0.410666732657652,7.64544635160818
5734,TCGA-85-8352-01,LUSC,0.411426245726465,7.02387767277166
5735,TCGA-85-8353-01,LUSC,0.430820496519771,6.99753014997096
5736,TCGA-85-8354-01,LUSC,0.39044757799331,7.70853841036124
5737,TCGA-85-8355-01,LUSC,0.418135963959497,6.38977495530248
5738,TCGA-85-8479-01,LUSC,0.393196511870406,7.08217343098807
5739,TCGA-85-8481-01,LUSC,0.378067648780034,6.64953831428936
5740,TCGA-85-8580-01,LUSC,0.409906819529264,7.04903291500153
5741,TCGA-85-8582-01,LUSC,0.389566811762726,7.14428022065803
5742,TCGA-85-8584-01,LUSC,0.39780296186249,6.97935260119506
5743,TCGA-85-8664-01,LUSC,0.409906819529264,7.57469721104469
5744,TCGA-85-8666-01,LUSC,0.406210108531565,7.76113954952741
5745,TCGA-85-A4CL-01,LUSC,0.393526032228356,7.17647861536444
5746,TCGA-85-A4CN-01,LUSC,0.410883777195581,7.04788939665102
5747,TCGA-85-A4JB-01,LUSC,0.408929199842869,7.44397800859202
5748,TCGA-85-A4JC-01,LUSC,0.406427824526982,7.05430803914949
5749,TCGA-85-A4PA-01,LUSC,0.393306360352653,6.91237299248123
5750,TCGA-85-A4QQ-01,LUSC,0.41153471496007,7.42343956806192
5751,TCGA-85-A4QR-01,LUSC,0.41153471496007,6.97620802853359
5752,TCGA-85-A50M-01,LUSC,0.39780296186249,7.411392967468
5753,TCGA-85-A50Z-01,LUSC,0.406318970636192,6.66998246573247
5754,TCGA-85-A510-01,LUSC,0.386700602287613,7.809817388387
5755,TCGA-85-A511-01,LUSC,0.429321369941442,7.49922919328309
5756,TCGA-85-A512-01,LUSC,0.406318970636192,6.46334733168867
5757,TCGA-85-A513-01,LUSC,0.391547780167342,6.37506794460467
5758,TCGA-85-A53L-01,LUSC,0.39231742277876,7.85829394953014
5759,TCGA-85-A5B5-01,LUSC,0.41153471496007,6.92946279287214
5760,TCGA-90-6837-01,LUSC,0.355580147377359,6.79255248152708
5761,TCGA-90-7766-01,LUSC,0.377623537635727,7.1218110212778
5762,TCGA-90-7767-01,LUSC,0.399444564589458,7.84266453647628
5763,TCGA-90-7769-01,LUSC,0.377734578239275,6.61877810117235
5764,TCGA-90-7964-01,LUSC,0.414676780426886,6.65507768014666
5765,TCGA-90-A4ED-01,LUSC,0.402285591869996,7.30890056074083
5766,TCGA-90-A4EE-01,LUSC,0.416299305479879,7.47995954668037
5767,TCGA-90-A59Q-01,LUSC,0.386259141133346,7.194171350731
5768,TCGA-92-7340-01,LUSC,0.391657754252914,6.70585271730625
5769,TCGA-92-7341-01,LUSC,0.417596012966672,7.47899913290362
5770,TCGA-92-8063-01,LUSC,0.415001431451972,7.58950033890505
5771,TCGA-92-8064-01,LUSC,0.385707124657934,7.3043911685485
5772,TCGA-92-8065-01,LUSC,0.409255146684838,6.55287424752194
5773,TCGA-94-7033-01,LUSC,0.386038359888614,7.11084209954366
5774,TCGA-94-7557-01,LUSC,0.388244653392299,7.99249793807459
5775,TCGA-94-7943-01,LUSC,0.410883777195581,7.09880174465009
5776,TCGA-94-8035-01,LUSC,0.430499386222592,7.36849424158886
5777,TCGA-94-8490-01,LUSC,0.649201558887861,7.13358049096281
5778,TCGA-94-8491-01,LUSC,0.389566811762726,7.34409226250095
5779,TCGA-94-A4VJ-01,LUSC,0.40610123821186,6.72773641245477
5780,TCGA-94-A5I4-01,LUSC,0.414460305816098,7.92560247788429
5781,TCGA-94-A5I6-01,LUSC,0.391657754252914,7.59450302645171
5782,TCGA-96-7544-01,LUSC,0.399663303888018,6.71260133393189
5783,TCGA-96-7545-01,LUSC,0.388465097283154,7.17767713176716
5784,TCGA-96-8169-01,LUSC,0.423631951714348,6.55162787371905
5785,TCGA-96-8170-01,LUSC,0.407515911946301,6.47114714376766
5786,TCGA-96-A4JK-01,LUSC,0.419754605485611,7.16936071624903
5787,TCGA-96-A4JL-01,LUSC,0.394733630019807,8.10286491849031
