,Samlpe,Type,TMB.score,Genes
150,TCGA-CF-A8HY-01,BLCA,2.4883359253,6.2870593305657
151,TCGA-CF-A9FF-01,BLCA,3.7541500526,6.02913334249115
152,TCGA-CF-A9FH-01,BLCA,1.0454346184,6.65559389020071
153,TCGA-CF-A9FL-01,BLCA,1.6047853366,6.4942553789089
154,TCGA-CF-A9FM-01,BLCA,0.5390682852,6.82569208921231
155,TCGA-CU-A0YN-01,BLCA,3.9827035735,7.45423801474434
156,TCGA-CU-A0YO-01,BLCA,2.4388819723,6.66311227476155
157,TCGA-CU-A0YR-01,BLCA,3.7766609008,6.8221897209684
158,TCGA-CU-A3KJ-01,BLCA,6.0072414962,7.40490542123421
159,TCGA-CU-A3QU-01,BLCA,2.5189855793,7.6898370466431
160,TCGA-CU-A3YL-01,BLCA,6.1362634457,5.92271950924187
161,TCGA-CU-A5W6-01,BLCA,5.5997884601,6.82912354814204
162,TCGA-CU-A72E-01,BLCA,2.571171874,7.15491467867187
163,TCGA-DK-A1A3-01,BLCA,16.103297127,6.74487008187514
164,TCGA-DK-A1A5-01,BLCA,6.5756705953,7.89640166772257
165,TCGA-DK-A1A7-01,BLCA,6.0307665954,5.14335964162874
166,TCGA-DK-A1AA-01,BLCA,2.1535738277,7.16850381906011
167,TCGA-DK-A1AB-01,BLCA,4.8920251012,7.15066920937335
168,TCGA-DK-A1AC-01,BLCA,37.477655641,8.1435178847837
169,TCGA-DK-A1AD-01,BLCA,6.0673324138,6.6981951259933
170,TCGA-DK-A1AE-01,BLCA,2.9370381317,7.42363452290415
171,TCGA-DK-A1AF-01,BLCA,2.7393303826,7.04493608767173
172,TCGA-DK-A1AG-01,BLCA,3.0820425301,7.28597623430961
173,TCGA-DK-A2HX-01,BLCA,2.5627396526,6.85306127691287
174,TCGA-DK-A2I1-01,BLCA,6.0439577044,7.18565403216477
175,TCGA-DK-A2I2-01,BLCA,2.5033046567,7.86798136834026
176,TCGA-DK-A2I4-01,BLCA,22.905986942,7.5268248298735
177,TCGA-DK-A2I6-01,BLCA,6.835335567,7.35122092208813
178,TCGA-DK-A3IK-01,BLCA,5.5393155677,6.33936101918728
179,TCGA-DK-A3IL-01,BLCA,5.3067009377,6.78688486440574
180,TCGA-DK-A3IM-01,BLCA,2.1966136394,7.19696868939722
181,TCGA-DK-A3IN-01,BLCA,9.8436401953,7.50754101678702
182,TCGA-DK-A3IQ-01,BLCA,4.7909813815,6.45842492111772
183,TCGA-DK-A3IS-01,BLCA,9.335840001,7.63809809526379
184,TCGA-DK-A3IT-01,BLCA,11.558518788,6.886052167822
185,TCGA-DK-A3IU-01,BLCA,9.7211799979,7.03100382646958
186,TCGA-DK-A3IV-01,BLCA,2.1490777141,7.07865323043391
187,TCGA-DK-A3WW-01,BLCA,29.433306413,7.66315002718334
188,TCGA-DK-A3WX-01,BLCA,0.9529215738,7.0477902586386
189,TCGA-DK-A3WY-01,BLCA,0.3265896238,7.34025597435193
190,TCGA-DK-A3X1-01,BLCA,21.483523399,6.63908144056412
191,TCGA-DK-A3X2-01,BLCA,3.2829628814,7.71301461632832
192,TCGA-DK-A6AV-01,BLCA,2.8764596326,7.8238819247869
193,TCGA-DK-A6AW-01,BLCA,101.69380894,6.13044737036652
194,TCGA-DK-A6B0-01,BLCA,0.6491082109,6.75913603108999
195,TCGA-DK-A6B1-01,BLCA,3.4887598932,7.53114509067199
196,TCGA-DK-A6B2-01,BLCA,4.6704999532,7.16857111219605
197,TCGA-DK-A6B5-01,BLCA,3.3053293241,6.31649991475625
198,TCGA-DK-A6B6-01,BLCA,22.197357695,6.92982966470529
199,TCGA-DK-AA6L-01,BLCA,11.055454126,7.55117341929707
200,TCGA-DK-AA6M-01,BLCA,1.7230886401,7.18278059174283
201,TCGA-DK-AA6P-01,BLCA,4.9037798241,7.70897947749868
202,TCGA-DK-AA6Q-01,BLCA,3.2845239519,7.53315479117604
203,TCGA-DK-AA6R-01,BLCA,9.7391531213,6.97819482713654
204,TCGA-DK-AA6S-01,BLCA,15.402006955,7.17977226786124
205,TCGA-DK-AA6T-01,BLCA,2.4087502151,6.78319363225263
206,TCGA-DK-AA6U-01,BLCA,11.932459365,7.80716551864228
207,TCGA-DK-AA6W-01,BLCA,7.0286478628,6.72173065384722
208,TCGA-DK-AA6X-01,BLCA,3.2582336831,7.16037038401657
209,TCGA-DK-AA71-01,BLCA,17.585503603,7.40912534485308
210,TCGA-DK-AA74-01,BLCA,5.8038223298,6.79976139174695
211,TCGA-DK-AA75-01,BLCA,12.040965283,7.43988508940927
212,TCGA-DK-AA76-01,BLCA,6.5741441104,7.46775089564783
213,TCGA-DK-AA77-01,BLCA,9.5318771348,6.89744669370758
214,TCGA-E5-A2PC-01,BLCA,6.0147306277,7.45312370800662
215,TCGA-E5-A4TZ-01,BLCA,11.502247266,7.85958576742991
216,TCGA-E5-A4U1-01,BLCA,15.138107507,7.17302419024153
217,TCGA-E7-A3X6-01,BLCA,3.0507834281,6.98454302199687
218,TCGA-E7-A3Y1-01,BLCA,4.0988397588,6.26661870662182
